0.935,-0.9274902,-0.411377,0.1369629,11.28007,-46.94794,-2.258301,-2.807617,5.249023,3.14917,-15.03516,-5.929688,1.628906,-228,-6,-65,0.6478271,0.3720093,-0.6555786,0.1102295,-21.34406,-19.78391,8.681315
0.965,-0.8925781,-0.4858398,0.1748047,11.29928,-34.6488,3.967285,-1.281738,3.356934,3.149003,-14.61328,-7.433594,2.5625,-226.4959,-8.955443,-65.25205,0.6474887,0.3720779,-0.6560422,0.1106501,-21.31374,-19.78164,8.599463
0.995,-0.84375,-0.4960938,0.1594238,11.12306,-19.35813,6.835938,0.9155273,3.479004,3.148926,-13.81641,-7.820313,2.785156,-223,-17,-66,0.6464844,0.3725586,-0.65625,0.1120605,-21.24446,-19.76385,8.443757
1.025,-0.8579102,-0.4719238,0.1201172,10.82254,-8.516534,6.347656,3.90625,4.150391,3.148636,-13.47656,-7.886719,2.164063,-225.1875,-15.1875,-64.8125,0.6463954,0.3729649,-0.6559868,0.1135412,-21.15353,-19.68451,8.387726
1.055,-0.8891602,-0.4416504,0.09570313,10.40359,-5.904369,3.90625,3.417969,4.455566,3.148193,-13.94531,-7.226563,1.78125,-231,-9,-62,0.6463623,0.3734741,-0.6552734,0.1154785,-21.03555,-19.56892,8.348993
1.085,-0.902832,-0.4157715,0.05688477,10.41015,-6.987783,-3.051758,0.1831055,5.493164,3.147922,-14.30469,-6.816406,1.066406,-230.875,-10.0625,-63.625,0.6466217,0.3725967,-0.6554604,0.1157011,-20.94499,-19.4785,8.323826
1.115,-0.909668,-0.4145508,0.06030273,10.58483,-5.838039,-10.86426,-2.319336,6.225586,3.147705,-14.49219,-6.527344,0.7734375,-230,-14,-68,0.6472168,0.3704834,-0.6560669,0.1157837,-20.76406,-19.29831,8.272397
1.145,-0.9155273,-0.4140625,0.08349609,10.36042,-4.304531,-15.68604,-3.662109,6.04248,3.147372,-14.60547,-6.722656,1.070313,-228.8125,-12.4375,-66.8125,0.647884,0.3677017,-0.6571881,0.1145058,-20.64172,-19.17444,8.24304
1.175,-0.909668,-0.4074707,0.1022949,9.917504,-4.266694,-14.83154,-4.272461,5.371094,3.146973,-14.55078,-6.449219,1.710938,-227,-8,-63,0.6487427,0.3638306,-0.6589966,0.1116333,-20.56244,-19.09024,8.2343
1.205,-0.8952637,-0.4257813,0.1123047,9.189023,-7.404958,-11.77979,-3.356934,5.79834,3.146805,-14.49219,-6.640625,1.613281,-226.3125,-8.125,-63.9375,0.6492921,0.3609459,-0.6603226,0.1099565,-20.46577,-18.9975,8.197621
1.235,-0.8747559,-0.432373,0.1022949,8.92166,-11.49789,-9.643555,-2.075195,5.615234,3.146729,-14.0625,-7.023438,1.757813,-226,-9,-67,0.6497192,0.3583374,-0.6615601,0.1085205,-20.37236,-18.91197,8.151556
1.265,-0.8898926,-0.4187012,0.1035156,8.818797,-13.21422,-6.530762,-0.4272461,4.699707,3.14652,-14.0625,-6.875,1.671875,-225.5,-9.5,-66.875,0.6502303,0.3563496,-0.6622559,0.1078072,-20.26819,-18.8058,8.128478
1.295,-0.907959,-0.4467773,0.1088867,8.882263,-10.43265,-4.089355,0.793457,5.371094,3.14624,-14.45313,-7.070313,1.6875,-225,-10,-66,0.6507568,0.3547974,-0.6626587,0.1074829,-20.16629,-18.69729,8.117927
1.325,-0.8828125,-0.4541016,0.09692383,8.979118,-5.442931,-4.333496,1.464844,6.04248,3.146094,-14.36328,-7.246094,1.570313,-225.5426,-9.457357,-63.5922,0.6513573,0.3530714,-0.6629879,0.1074902,-20.02278,-18.54695,8.096494
1.356,-0.8830566,-0.4462891,0.09375,8.797229,-1.633945,-7.324219,1.403809,6.469727,3.145996,-14.10547,-7.296875,1.511719,-227,-8,-59,0.6520386,0.3513184,-0.663208,0.1075439,-19.87296,-18.38533,8.08583
1.386,-0.8874512,-0.4138184,0.09472656,8.690668,-1.066256,-10.68115,0.8544922,7.141113,3.145788,-14.07813,-6.914063,1.453125,-227,-8,-60.76434,0.6529412,0.3487741,-0.6637378,0.1070891,-19.69987,-18.19762,8.075454
1.416,-0.9160156,-0.3942871,0.09033203,8.596302,-1.768573,-11.41357,0.6103516,7.141113,3.145508,-14.375,-6.363281,1.644531,-227,-8,-66,0.6540527,0.3455811,-0.6644897,0.1060791,-19.51904,-17.99657,8.076279
